ms:float,v:float
2532110.5699539185,85.32937
2532876.2300014496,78.36374
2533688.7698173523,73.84273
2534407.5598716736,83.47439
2535173.2199192047,78.36371
2536048.259973526,68.56827
2536860.790014267,73.84273
2537595.1998233795,81.69833
2538392.119884491,75.29063
2539267.1599388123,68.56825
2539970.309972763,85.3294
2540673.470020294,85.32937
2541407.8798294067,81.69833
2542204.789876938,75.29065
2542954.829931259,79.99628
2550767.6899433136,91.42432
2551502.0999908447,81.69836
2552299.010038376,75.29063
2553049.0398406982,79.99628
2553767.8298950195,83.47439
2554549.1099357605,76.79646
2555377.279996872,72.44947
2556064.810037613,87.26867
2556861.7198467255,75.29063
2557658.6298942566,75.29065
2558361.7899417877,85.32937
2559143.079996109,76.79644
2559986.8700504303,71.10782
2560690.0198459625,85.3294
2561440.059900284,79.99628
2562252.599954605,73.84273
2563018.260002136,78.36374
2567424.710035324,83.47441
2568205.999851227,76.79644
2569112.289905548,66.20383
2569877.949953079,78.36371
2570627.97999382,79.99628
2571393.6400413513,78.36374
2572221.809864044,72.44947
2573018.7199115753,75.29063
2582847.2998142242,81.69836
2583519.2098617554,89.29817
2584237.9899024963,83.47441
2584909.889936447,89.29817
2585659.9299907684,79.99628
2586456.8400382996,75.29065
2590160.1400375366,89.29817
2590910.169839859,79.99632
2591675.82988739,78.36371
2592425.8699417114,79.99628
2593113.3999824524,87.2687
2593863.4300231934,79.99628
2594644.719839096,76.79644
2595347.879886627,85.3294
2596051.0399341583,85.32937
2596801.0699748993,79.99628
2597597.9800224304,75.29063
2598301.139831543,85.3294
2599004.299879074,85.32937
2599723.079919815,83.47441
2600504.3699741364,76.79644
